artist_name,genre_id,artist_id
Adele ,0,0
Joey + Rory ,1,1
Draaco Aventura ,2,2
Justin Bieber ,0,3
Peer Van Mladen ,3,4
Chris Janson ,1,5
One Direction ,0,6
Drake ,4,7
Carrie Underwood ,1,8
Ed Sheeran ,5,9
Taylor Swift ,0,10
Saywecanfly ,6,11
Selena Gomez ,0,12
Chris Brown ,0,13
Nicki Minaj ,7,14
Fifth Harmony ,0,15
Thomas Rhett  ,8,16
Eminem ,9,17
Beyoncé ,0,18
Meghan Trainor ,10,19
Twenty One Pilots ,11,20
Fetty Wap ,7,21
5 Seconds Of Summer ,6,22
Jason Aldean ,1,23
Luke Bryan ,8,24
Blake Shelton ,1,25
Rihanna ,0,26
Elvis Presley ,12,27
Ariana Grande ,0,28
Jd Shelburne ,1,29
Lil Wayne ,4,30
Demi Lovato ,0,31
Maroon 5 ,6,32
Sam Hunt ,10,33
George Strait ,1,34
Wiz Khalifa ,4,35
Miranda Lambert ,1,36
Dj Khaled ,7,37
Porno For Pyros ,12,38
Katy Perry ,0,39
Miley Cyrus ,0,40
Tim Mcgraw ,1,41
The Weeknd ,13,42
Macklemore & Ryan Lewis ,7,43
Ellie Goulding ,0,44
Michael Jackson ,0,45
Rascal Flatts ,1,46
Britney Spears ,0,47
Zac Brown Band ,1,48
Hearty2Raw ,4,49
Future ,4,50
Lady Antebellum ,1,51
Adam Levine ,11,52
Janet Jackson ,13,53
Keith Urban ,1,54
Sam Smith ,10,55
Jason Derulo ,0,56
Tori Kelly ,6,57
2Pac ,14,58
Ciara ,0,59
Old Dominion ,1,60
Randy Houser ,1,61
Eric Church ,1,62
Shakira ,15,63
Bruno Mars ,6,64
Little Big Town ,1,65
Rick Ross ,4,66
Toby Keith ,1,67
Brian Collins ,1,68
Sia ,0,69
Dixie Chicks ,1,70
Kanye West ,4,71
Shania Twain ,1,72
Enrique Iglesias ,0,73
The Band Perry ,1,74
Kellie Pickler ,1,75
Randy Owen ,1,76
Kelsea Ballerini ,8,77
Lana Del Rey ,11,78
Freddie Mercury ,12,79
Martin Garrix ,3,80
Brett Eldredge ,1,81
Trey Songz ,13,82
Young Thug ,7,83
Mariah Carey ,0,84
Jennifer Lopez ,0,85
Shawn Mendes ,12,86
Halsey ,11,87
The Xx ,16,88
Kurt Stevens ,8,89
R. Kelly ,13,90
50 Cent ,4,91
Kenny Chesney ,1,92
Linkin Park ,11,93
Akon ,4,94
Avenged Sevenfold ,17,95
John Legend ,13,96
Cole Swindell ,1,97
Justin Moore ,8,98
Jewel ,18,99
Maddie & Tae ,1,100
Chris Young ,8,101
